query,intent,response
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Track my recent purchase,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Where is my order?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
Has my order shipped yet?,order_status,Please provide your order ID to check the status.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
How do I return an item?,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
I want to send back my order,return_order,Go to 'My Orders' and select the item you want to return.
Return process for a wrong item?,return_order,Go to 'My Orders' and select the item you want to return.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
How to change billing address?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Update my credit card details,update_billing,You can update your billing information in your account settings.
Where to modify my billing information?,update_billing,You can update your billing information in your account settings.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Cancel my monthly plan,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Stop my subscription now,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
I want to unsubscribe,cancel_subscription,You can cancel your subscription from the 'Subscription' section.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Apply my coupon during checkout,apply_discount,Enter your discount code at checkout to apply it.
Where do I enter the promo code?,apply_discount,Enter your discount code at checkout to apply it.
Discount code not working,apply_discount,Enter your discount code at checkout to apply it.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Download bill for my order,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Where can I get my invoice?,download_invoice,Invoices are available under 'Order History'.
Need a copy of my receipt,download_invoice,Invoices are available under 'Order History'.
What are your shipping options?,shipping_info,"Yes, we ship both locally and internationally."
Is international shipping available?,shipping_info,"Yes, we ship both locally and internationally."
What are your shipping options?,shipping_info,"Yes, we ship both locally and internationally."
What are your shipping options?,shipping_info,"Yes, we ship both locally and internationally."
Do you ship to Canada?,shipping_info,"Yes, we ship both locally and internationally."
